waiwai,chapter_id,entry_id,significado,meaning,WaiWai,Wai_Wai_sem_correcao,Wai_Wai_Phonemic,comment,comment_sem_correcao,comentario,comentario_sem_correcao,Referencia
iyohnî,,,sem dente,,iyohnî,,,,,,,2
Iyohnî,,,sem dente,,Iyohnî,,ior nu,,,,,3
iyohyarî,4,207,mandíbula,jaw,iyohyarî,i-yohya-rî,i-yohya-rɨ,Lit. '3rd-jaw-poss'.,,Literalmente. '3º-JAW-POSS'.,,1
iyohyarî,4,209,queixo,chin,iyohyarî,i-yohya-rî,i-yohya-rɨ,Same as 'jaw' 04.207.,,O mesmo que 'Jaw' 04.207.,,1
iyoku,,,bicho de estimação dele ou dela,,iyoku,,,,,,,2
Iyoku,,,bicho de estimação dele ou dela,,Iyoku,,io cu,,,,,3
iyomorî,,,lendia dele ou dela,,iyomorî,,,,,,,2
Iyomorî,,,lendia dele ou dela,,Iyomorî,,io morú,,,,,3
iyopo,,,pior,,iyopo,,,,,,,2
Iyopo,,,pior,,Iyopo,,iofo,,,,,3
iyoporo makî,,,muito pior,,iyoporo makî,,,,,,,2
Iyoporo makî,,,muito pior,,Iyoporo makî,,ioforo macu,,,,,3
iyorî,,,dente dele,,iyorî,,,,,,,2
iyorî,,,dente dele ou dela,,iyorî,,,,,,,2
Iyorî,,,dente dele,,Iyorî,,io-rî,,,,,3
Iyorî,,,dente dele ou dela,,Iyorî,,io ru,,,,,3
iyothîrî,4,858,cicatriz,scar,iyothîrî,,iyothɨrɨ,Lit. 'its former tooth'; cf. 04.270.,,Literalmente. 'seu antigo dente'; cf. 04.270.,,1
iyotî,,,carne dele,,iyotî,,,,,,,2
Iyotî,,,carne dele,,Iyotî,,io ti,,,,,3
Ka,,,"Falar, fazer",,"Ka, kas",,,,,Ero wa wîîkes awya; Isso é o que falei para você; Faça agora; Kasko yîwya,,4
kas,,,"Falar, fazer",,"Ka, kas",,,,,Ero wa wîîkes awya; Isso é o que falei para você; Faça agora; Kasko yîwya,,4
ka,9,110,"Faça, faça","do, make",ka; kas; kasko ,ka; kas; kas-ko ,ka; kas; kas-ko ,"The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.",,"O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.",,1
kas,9,110,"Faça, faça","do, make",ka; kas; kasko ,ka; kas; kas-ko ,ka; kas; kas-ko ,"The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.",,"O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.",,1
kasko,9,110,"Faça, faça","do, make",ka; kas; kasko ,ka; kas; kas-ko ,ka; kas; kas-ko ,"The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.; The latter is imperative form, 'do it'. 'Make; make it' are čirɨ; čir-ko.",,"O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.; O último é a forma imperativa, 'faça'. 'Faço; fazer isso 'são Čirɨ; Čir-Ko.",,1
kaamo,1,520,Sol,sun     ,kaamo,,kaamo,,,,,1
kaamo,,,sol,,kaamo,,,,,,,2
Kaamo,,,sol,,Kaamo,,ca mo,,,,,3
kaamo kuknon,14,530,"relógio, relógio","clock, timepiece",kaamo kuknon,,kaamo kuknon,Lit. 'sun ?' 01.520.,,Literalmente. 'Sol ?' 01.520.,,1
kaamo yemičitopo,12,460,Oeste,west,kaamo yemičitopo,kaamo yemičitopo,kaamo yemičitoΦo,Means the place the sun sets.,,Significa o lugar que o sol se põe.,,1
kaamo yepatakačho,12,450,leste,east,kaamo yepatakačho,kaamo yepatakačho,kaamo yeΦatakačho,Means the place the sun rises.,,Significa o lugar que o sol nasce.,,1
kaan,22,120,Deus,God,kaan,,kaan,,,,,1
Kaan,,,deus,,Kaan,,can,,,,,3
kaan ,,,Desu,,kaan ,,,,,,,2
kaan mîn,22,130,"templo, igreja","temple, church",kaan mîn,,kaan mɨn,Lit.	god	house'.,,Literalmente. Casa de Deus '.,,1
kaan ya tîmsom,22,150,"sacrifício, oferta","sacrifice, offering",kaan ya tîmsom,,kaan ya tɨmsom,Means that	which	is	to	be	given	to	God'.,,Significa o que deve ser dado a Deus '.,,1
kaañe,,,guia,,kaañe,,,,,,,2
Kaañe,,,guia,,Kaañe,,ca nhe,,,,,3
kaapu,9,720,molde (argila etc),mold (clay etc) ,kaapu,,∅-kaaΦu-∅,Lit. '1st-mold/weave-today past'; cf. 'weave' 09.750.,,Literalmente. 'PASTIDO DE PIROSTURA/TEAVELA/TELA'; cf. 'Teave' 09.750.,,1
kaapu,9,750,"tecer, trança","weave, plait",kaapu,,∅-kaaΦu-∅,Lit. '1st-mold/weave-today past'; cf. 09.720.,,Literalmente. 'PASTIDO DE PIROSTURA/TEAVELA/TELA'; cf. 09.720.,,1
kaapu,1,510,céu,sky     ,kaapu,,kaaΦu,,,,,1
kaapu,22,310,paraíso,heaven,kaapu,,kaaΦu,,,,,1
kaapu,,,céu,,kaapu,,,,,,,2
Kaapu,,,céu,,Kaapu,,ca fu,,,,,3
kaapu smun ,1,730,nuvem,cloud   ,kaapu smun ,,kaaΦu smun ,"Lit. 'sky dirt'. 'Thunderhead/dark cloud' istuuna yewru, lit. 'eye of rain' 04.210.",,"Lit. 'Sky Dirt'. 'Thunderhead/Dark Cloud' Istuuna yewru, lit. 'Eye of Rain' 04.210.",,1
kaapusmun,6,330,tecer,weave,kaapusmun,kapu-hra,kaΦu-hra,Lit. 'weave it-negative'.,,Literalmente. 'tecer it-negativo'.,,1
kaapusmun,,,nuvens,,kaapusmun,kaapusmun - nuvens,,,,,,2
Kaapusmun,,,nuvens,,Kaapusmun,,ca dum smun,,,,,3
kaari,,,rio acari braço do rio Mapuera,,kaari,,,,,,,2
Kaari,,,direita,,Kaari,,ca ri,,,,,3
Kaari,,,rio acari braço do rio Mapuera,,Kaari,,ca ri,,,,,3
kaarî,,,ti levei,,kaarî,,,,,,,2
Kaarî,,,ti levei,,Kaarî,,c aru,,,,,3
kaari ,,,direita,,kaari ,,,,,,,2
kacamara,,,tucupi,,kacamara,,,,,,,2
kacamawa,,,esta azeda ou comida estragada,,kacamawa,,,,,,,2
Kacamawa,,,esta azeda ou comida estragada,,Kacamawa,,catia ma ua,,,,,3
kace,,,dizeria,,kace,,,,,,,2
Kace,,,dizeria,,Kace,,ca tié,,,,,3
kacinasî,,,eu espirro,,kacinasî,,,,,,,2
Kacinasî,,,eu espirro,,Kacinasî,,ca ti na su,,,,,3
kacinîmtopo,,,espirradeira,,kacinîmtopo,,,,,,,2
Kacinîmtopo,,,espirradeira,,Kacinîmtopo,,ca ti num tofo,,,,,3
kacinmo,,,espirrei,,kacinmo,,,,,,,2
Kacinmo,,,espirrei,,Kacinmo,,ca tin mo,,,,,3
kacipara,,,facão,,kacipara,,,,,,,2
Kacipara,,,facão,,Kacipara,,ca ti fará,,,,,3
kačipara ymo,20,270,espada,sword,kačipara ymo,kačipara ymo,kačiΦara ymo,,,,,1
kacow,,,dizeram,,kacow,,,,,,,2
Kacow,,,dizeram,,Kacow,,ca tiou,,,,,3
kacworu,,,rio Cachorro,,kacworu,,,,,,,2
Kacworu,,,rio Cachorro,,Kacworu,,cate uoru,,,,,3
kahru,,,te tranquei,,kahru,,,,,,,2
Kahru,,,te tranquei,,Kahru,,car ru,,,,,3
kahrutopo,21,390,"prisão, prisão","prison, jail",kahrutopo,k-ahru-topo,k-ahru-toΦo,Means 'place of closing up people'.,,Significa 'lugar de fechar as pessoas'.,,1
kahrutopo,,,cadeia ou presidio,,kahrutopo,,,,,,,2
Kahrutopo,,,"cadeia, delegacia",,Kahrutopo,,car ru tofo,,,,,3
kahsî enko,12,80,"para cima, acima","up, above",kahsî enko; epoyi,kahsî en-ko; epoyi,kahsɨ en-ko; eΦoyi,The former is 'look up-imperative'.; The former is 'look up-imperative'.,,"O primeiro é 'parecer imperativo'.; O primeiro é ""parecer imperativo"".",,1
epoyi,12,80,"para cima, acima","up, above",kahsî enko; epoyi,kahsî en-ko; epoyi,kahsɨ en-ko; eΦoyi,The former is 'look up-imperative'.; The former is 'look up-imperative'.,,"O primeiro é 'parecer imperativo'.; O primeiro é ""parecer imperativo"".",,1
kahwo,,,piracui,,kahwo,,,,,,,2
Kahwo,,,piracui,,Kahwo,,car uo,,,,,3
kahwoka,,,fiquei triste,,kahwoka,,,,,,,2
Kahwoka,,,fiquei triste,,Kahwoka,,car uoca,,,,,3
kahwokanmexpoñe,,,algo que provoca triste,,kahwokanmexpoñe,,,,,,,2
Kahwokanmexpoñe,,,algo que provoca triste,,Kahwokanmexpoñe,,car uo can mex fonhe,,,,,3
kahwokatopo,,,relação tristeza,,kahwokatopo,,,,,,,2
Kahwokatopo,,,relação tristeza,,Kahwokatopo,,car uo ka topo,,,,,3
kahwokes,,,sentimento triste,,kahwokes,,,,,,,2
kahwokesî,,,estou triste,,kahwokesî,,,,,,,2
Kahwokesî,,,estou triste,,Kahwokesî,,car uo que çu,,,,,3
kahworeñe,,,que faz alegria,,kahworeñe,,,,,,,2
Kahworeñe,,,que faz alegria,,Kahworeñe,,car wo re nhe,,,,,3
kahwota,,,fiquei contente,,kahwota,,,,,,,2
Kahwota,,,fiquei contente,,Kahwota,,car uo ta,,,,,3
kahwotanmexpoñe,,,que da alegria,,kahwotanmexpoñe,,,,,,,2
Kahwotanmexpoñe,,,que daalegria,,Kahwotanmexpoñe,,Car uo tan mex fon nhe,,,,,3
kahwotatopo,,,relação de alegria,,kahwotatopo,,,,,,,2
Kahwotatopo,,,relação de alegria,,Kahwotatopo,,car wo ta tofo,,,,,3
kahxi,1,390,cascata,waterfall       ,kahxi,,kahši,,,,,1
kahxi,,,cachoeira,,kahxi,,,,,,,2
Kahxi,,,cachoeira,,Kahxi,,car xi,,,,,3
kakno,,,nosso irmão,,kakno,,,,,,,2
Kakno,,,nosso irmão,,Kakno,,ca do,,,,,3
kakno komo,,,nossos irmãos,,kakno komo,,,,,,,2
Kakno komo,,,nossos irmãos,,Kakno komo,,ca dó como,,,,,3
kakro,,,conosco,,kakro,,,,,,,2
Kakro,,,conosco,,Kakro,,cacro,,,,,3
kakrono,,,nosso amigo,,kakrono,,,,,,,2
Kakrono,,,nosso amigo,,Kakrono,,cacro no,,,,,3
kakrono komo,,,nossos amigos,,kakrono komo,,,,,,,2
Kakrono komo,,,nossos amigos,,Kakrono komo,,cacro no como,,,,,3
kakronomañe,,,que ajudar nós,,kakronomañe,,,,,,,2
Kakronomañe,,,que ajuda nos,,Kakronomañe,,cacro no manhe,,,,,3
kakroso,,,com a gente,,kakroso,,,,,,,2
Kakroso,,,com a gente,,Kakroso,,ca cro só,,,,,3
kamahxu,8,680,tabaco,tobacco ,kamahxu,,kamahšu,,,,,1
kamahxu,,,cigarro ou tabaco,,kamahxu,,,,,,,2
Kamahxu,,,cigarro ou tabaco,,Kamahxu,,ca mar xu,,,,,3
kamahxu ñesunukyasî,8,690,fumaça (tabaco),smoke (tobacco) ,kamahxu ñesunukyasî,kamahxu ɲesunukyasî,kamahšu ɲesunukyasɨ,Lit. 'he is smelling tobacco'.,,Literalmente. 'Ele está cheirando a tabaco'.,,1
kamahxun,,,cigarro dele ou dela,,kamahxun,,,,,,,2
Kamahxun,,,cigarro dele ou dela,,Kamahxun,,camar xun,,,,,3
kamara,,,onça,,kamara,,,,,,,2
Kamara,,,onça,,Kamara,,cama ra,,,,,3
kamaraci,,,gato,,kamaraci,,,,,,,2
Kamaraci,,,gato,,Kamaraci,,cama ra ti,,,,,3
kamarači,3,620,gato,cat,kamarači,kamarači,kamarači,,,,,1
kamarakataw,14,450,"meio -dia, meio -dia","noon, midday",kamarakataw,,kamarakataw,,,,,1
kamarakataw,,,meio dia,,kamarakataw,,,,,,,2
Kamarakataw,,,meio dia Kamisa,,Kamarakataw,,cama ra ca tau,,,,,3
kamaxakari,,,cobra jararaca,,kamaxakari,,,,,,,2
Kamaxakari,,,cobra jararaca,,Kamaxakari,,cama xá ca ri,,,,,3
kamerî,,,lenha,,kamerî,,,,,,,2
Kamerî,,,lenha,,Kamerî,,came ru,,,,,3
kameru,3,780,camelo,camel,kameru,,kameru,,,,,1
kamina,20,550,armadilha para peixes,fish trap,kamina; xiika,,kamina; šiika,,,,,1
xiika,20,550,armadilha para peixes,fish trap,kamina; xiika,,kamina; šiika,,,,,1
kamisa,6,480,calças,trousers,kamisa,,kamisa,,,,,1
kamisa,,,calça,,kamisa,,,,,,,2
kamisa kawno,,,calça comprida,,kamisa kawno,,,,,,,2
Kamisa kawno,,,calça comprida,,Kamisa kawno,,ca misa cau no,,,,,3
kamisaci,,,calça pequena,,kamisaci,,,,,,,2
Kamisaci,,,calça pequena,,Kamisaci,,camisa ti,,,,,3
kamisamnî,,,nu ou pessoa sem roupa,,kamisamnî,,,,,,,2
Kamisamnî,,,nu ou pessoa sem roupa,,Kamisamnî,,ca misam nu,,,,,3
kamisan,,,calça dele,,kamisan,,,,,,,2
Kamisan,,,calça dele,,Kamisan,,cami san,,,,,3
kamisan kakî,,,tire calça dele,,kamisan kakî,,,,,,,2
Kamisan kakî,,,tire calça dele,,Kamisan kakî,,ca misan cacu,,,,,3
kamisayem,,,pessoa de roupa,,kamisayem,,,,,,,2
Kamisayem,,,pessoa de roupa,,Kamisayem,,ca mi sa iem,,,,,3
kamokowasî,,,estou com mão fede,,kamokowasî,,,,,,,2
Kamokowasî,,,estou com mão fede,,Kamokowasî,,camo coasu,,,,,3
kamonthîrî,,,tempo de verão,,kamonthîrî,,,,,,,2
Kamonthîrî,,,tempo de verão,,Kamonthîrî,,camon ti rú,,,,,3
kamorî,,,nossa mão,,kamorî,,,,,,,2
Kamorî,,,nossa mão,,Kamorî,,camo ru,,,,,3
kamowrî,,,"nome do rio, braço do rio Mapuera",,kamowrî,,,,,,,2
Kamowrî,,,"nome do rio, braço do rio Mapuera",,Kamowrî,,camou ru,,,,,3
kamoxokwenta,4,855,bolha,blister ,kamoxokwenta,k-amo-xokwe-n-ta,k-amo-šokwe-n-ta-∅,Lit. '1st-hand-blister-poss-verbl-today past'.,,Literalmente. 'PASSO DE PIRGISTRA PIRGISTRA-POSS-VERBLAY 1º.,,1
kamoxoxon,,,unha de dedo da mão,,kamoxoxon,,,,,,,2
Kamoxoxon,,,unha de dedo da mão,,Kamoxoxon,,camo xo xon,,,,,3
kamoyaran,,,dedos da mão,,kamoyaran,,,,,,,2
Kamoyaran,,,dedos da mão,,Kamoyaran,,camo iaran,,,,,3
kamoyeknarî,,,anel,,kamoyeknarî,,,,,,,2
Kamoyeknarî,,,anel,,Kamoyeknarî,,camo ye da ru,,,,,3
kampeperu,,,barata,,kampeperu,,,,,,,2
Kampeperu,,,barata,,Kampeperu,,cam fé fé ru,,,,,3
kamru,7,540,viga,rafter,kamru,,kamru,,,,,1
kamuxpa,,,carrapato,,kamuxpa,,,,,,,2
Kamuxpa,,,carrapato,,Kamuxpa,,camux fa,,,,,3
kamuxpa yepu,,,"carrapateiro, ou planta cheio de carrapato.",,kamuxpa yepu,,,,,,,2
Kamuxpa yepu,,,"carrapateiro,ou planta cheio de carrapato",,Kamuxpa yepu,,camux fa iefu,,,,,3
kamuxpatho yeken,,,lugar de carrapato,,kamuxpatho yeken,,,,,,,2
Kamuxpatho yeken,,,lugar de carrapato,,Kamuxpatho yeken,,ca muxa fa ieqen,,,,,3
kamuxpayem,,,cheio de carrapato,,kamuxpayem,,,,,,,2
Kamuxpayem,,,cheio de carrapato,,Kamuxpayem,,ca mux fa iem,,,,,3
kamxuku,4,150,sangue,blood   ,kamxuku,,kamšuku,,,,,1
kanahmutu,,,cabeça branca,,kanahmutu,,,,,,,2
Kanahmutu,,,cabeça branca,,Kanahmutu,,canar mutu,,,,,3
kanapa,6,960,espelho,mirror,kanapa,,kanaΦa,,,,,1
kanapa,,,espelho,,kanapa,,,,,,,2
Kanapa,,,espelho,,Kanapa,,cana fa,,,,,3
kanawa,10,831,canoa,canoe,kanawa,,kanawa,"Also used to mean 'place' 12.110, location of canoe.",,"Também usado para significar 'local' 12.110, localização da canoa.",,1
kanawa,10,830,barco,boat,kanawa,,kanawa,,,,,1
kanawa,,,canoa,,kanawa,,,,,,,2
kanawa,,,canoa,,kanawa,,,,,,,2
Kanawa,,,canoa,,Kanawa,,ca na ua,,,,,3
Kanawa,,,canoa,,Kanawa,,cana ua,,,,,3
kanawa miči waray,9,180,corrente,chain,kanawa miči waray,kanawa miči waray,kanawa miči waray,Lit. 'one like a canoe tie'.,,Literalmente. 'Um como uma gravata de canoa'.,,1
kanawarî,,,canoa dele,,kanawarî,,,,,,,2
Kanawarî,,,canoa dele,,Kanawarî,,cana uaru,,,,,3
kanawatho to,12,110,"Lugar, colocar",place,kanawatho to,kanawa-tho to,kanawa-tho to,Lit. 'canoe-old-at'.,,Literalmente. 'Canoe-Old-At'.,,1
kanaymo,,,peixe jaú,,kanaymo,,,,,,,2
Kanaymo,,,peixe jaú,,Kanaymo,,cana imo,,,,,3
kantomañe,19,410,mestre,master,kantomañe,k-antoma-ɲe,k-antoma-ɲe,Same as 'rule/ruler' 19.310.,,O mesmo que 'regra/governante' 19.310.,,1
kantomañe,19,310,"governar, governar","rule, govern",kantomañe,k-antoma-ɲe,k-antoma-ɲe,Means 'one who gives people assignments to do'.,,Significa 'aquele que dá às pessoas tarefas para fazer'.,,1
kanwekyasî,17,430,dúvida,doubt,kanwekyasî,k-anwek-ya-sî,k-anwek-ya-sɨ,"Means 'I doubt/disobey you'. Also okre, saidwith low flat intonation, means 'I don't believe you'.",,"Significa 'eu duvido/desobedeceu a você'. Também Okre, disse com baixa entonação plana, significa 'eu não acredito em você'.",,1
kapew,,,te toquei,,kapew,,,,,,,2
Kapew,,,te toquei,,Kapew,,ca feu,,,,,3
kapeyasî,,,eu toco em ti,,kapeyasî,,,,,,,2
Kapeyasî,,,eu toco em ti,,Kapeyasî,,ca fé iasu,,,,,3
kapikara,3,550,frango,chicken ,kapikara,,kaΦikara,,,,,1
kapikara,3,520,"Galo, Rooster","cock, rooster ",kapikara,,kaΦikara,,,,,1
kapikara,,,galinha,,kapikara,,,,,,,2
Kapikara,,,galinha,,Kapikara,,ca fi cara,,,,,3
kapikara woosî,3,540,galinha,hen,kapikara woosî,,kaΦikara woosɨ,,,,,1
kapikî,,,ti pisei,,kapikî,,,,,,,2
Kapikî,,,ti pisei,,Kapikî,,ca fi cu,,,,,3
kapikmo,,,ti machuquei,,kapikmo,,,,,,,2
Kapikmo,,,ti machuquei,,Kapikmo,,ca fi bo,,,,,3
kapikyasî,,,te piso,,kapikyasî,,,,,,,2
Kapikyasî,,,te piso,,Kapikyasî,,ca fi quia su,,,,,3
kapon,,,nosso banco de sentar,,kapon,,,,,,,2
Kapon,,,nosso banco de sentar,,Kapon,,ca fon,,,,,3
kapuwi,,,nome do rio trombetas na lingua indigena,,kapuwi,,,,,,,2
Kapuwini,,,nome do rio Trombetas na lingua indigena,,Kapuwini,,Cafui ni,,,,,3
karamamya,,,dor nos corpos,,karamamya,,,,,,,2
Karamamya,,,dor nos corpos,,Karamamya,,caramam ia,,,,,3
karapa,20,560,isca,bait,karapa,,karaΦa,,,,,1
karasî,,,ti levo,,karasî,,,,,,,2
Karasî,,,ti levo,,Karasî,,carias u,,,,,3
karita,18,610,livro,book,karita,,karita,,,,,1
karita,18,560,papel,paper,karita,,karita,,,,,1
karita enko,18,520,leitura,read,karita enko,karita en-ko,karita en-ko,"Lit. 'see the book-imperative'. To read outloud is [karita] yɨ-mtaΦo-ta-re-ko, 'make the book to talk'.",,"Literalmente. 'Veja o livro imperativo'. Ler em voz alta é [Karita] yɨ-mtaφo-ta-re-ko, 'faça o livro para conversar'.",,1
karita mewretopo,18,570,caneta,pen,karita mewretopo,karita mewre-topo,karita mewre-toΦo,,,,,1
kařme,12,410,lado direito),right (side),kařme,kar̃me,kar̃me,,,,,1
kařpamxan,2,251,jovem (adolescente),young man (adolescent)  ,kařpamxan,kar̃pamxan,kar̃Φamšan,,,,,1
kařpe,4,830,"Bem, saúde","well, health",kařpe,kar̃pe,kar̃Φe,,,,,1
kařpe,4,810,"forte, poderoso, poderoso","strong, mighty, powerful",kařpe,kar̃pe,kar̃Φe,,,,,1
kařpera,4,820,fraco,weak,kařpera,kar̃pe-ra,kar̃Φe-ra,Lit. 'strong-negative'.,,Literalmente. 'forte negativo'.,,1
kařwa,3,840,minhoca,worm,kařwa,kar̃wa,kar̃wa,,,,,1
kasko,18,220,dizer,say,kasko,kas-ko,kas-ko,Means 'say/do it-imperative'. Also means 'do' 09.110.,,Significa 'digamos/faça-o-imperativo'. Também significa 'do' 09.110.,,1
Kasko,,,diz,,Kasko,,que,,,,,3
ahce ke,,,diz ou dize,,kasko ou ahce ke,,,,,,,2
kasko,,,diz ou dize,,kasko ou ahce ke,,,,,,,2
katî,17,540,ou,or,katî,,katɨ,Interrogative of opposite possibility. The concept only seems to be used in questions.,,Interrogativo da possibilidade oposta. O conceito parece ser usado apenas em perguntas.,,1
katî,5,791,"Gordura, gordura","grease, fat",katî,,katɨ,,,,,1
katî,5,790,óleo,oil,katî,,katɨ,,,,,1
Katî,,,indica pergunta de possibilidade contraria,,Katî,,,,,Mîîce? Tohra katî mai?; Onde você está indo? Ou você não está indo?; ; ,,4
Katîhcaramai,,,ter crina como de cavalo ou juba de leão,,Katîhcaramai,,,,,Katîhcaramai nasî; Ele tem uma crina; Ele está irritado; ,,4
Katîhpoci,,,"nadadeira, barbatana (de um peixe)",,Katîhpoci,,,,,Katîhpoxe (ATZD) nai; Eles têm barbatanas; ; ,,4
katîhpoči,3,652,Fin (dorsal),fin (dorsal)    ,katîhpoči,katîhpoči,katɨhΦoči,,,,,1
Katîhwo,,,Ao longo de uma cadeia longa,,Katîhwo,,,,,e estreita de montanhas; Katîhwo roro kaika; Veja Katpî(rî); ,,4
Katîhyamci,,,Crina de um cavalo,,Katîhyamci,,,,,Veja kanahwapkon; ; ; ,,4
katpan,,,verão,,katpan,,,,,,,2
Katpan,,,verão,,Katpan,,cat fan,,,,,3
katpan pó,,,no verão,,katpan pó,,,,,,,2
Katpan pó,,,no verão,,Katpan pó,,cat fan fo,,,,,3
katpanaka,,,para fora de casa,,katpanaka,,,,,,,2
Katpanaka,,,para fora de casa,,Katpanaka,,cat fana ca,,,,,3
katpanaw,,,de dia,,katpanaw,,,,,,,2
katpanaw,,,fora de casa,,katpanaw,,,,,,,2
Katpanaw,,,de dia,,Katpanaw,,cat fanau,,,,,3
Katpanaw,,,fora de casa,,Katpanaw,,cat fa nau,,,,,3
katpîrî,4,191,coluna,spine,katpîrî,katpî-rî,∅-katΦɨ-rɨ,Lit. '3rd-spine-poss'.,,Literalmente. '3ª-poss-poss'.,,1
Katuhke,,,"Prostrar-se, curva-se",,Katuhke,,,,,"Katuhke nas okwe; Ela está todinha curvada, que pena; Ela está prostrada; ",,4
Katupiciri,,,tipo de lagarta,,Katupiciri,,,,,,,4
Katurima,,,"tipo de arvore cuja fruta é comível, a madeira é branca e não muito dura",,Katurima,,,,,,,4
Katwaru,,,tipo de arvores boa pra fazer canoas,,Katwaru,,,,,,,4
kaw,12,310,Alto,high,kaw,,kaw,,,,,1
kaw,12,580,alto,tall,kaw,,kaw,,,,,1
Kaw,,,"Alto, longo",,Kaw,,,,,Kau natîkwakñe wecwe me; A arvore cresceu e ficou muito alta; Ele e baixo; Kawno (NMZD) mîn kecekere,,4
kaw,12,570,grandes,long,kaw; ehyatkaw,,kaw; ehyatkaw,The latter means 'with long back'.; The latter means 'with long back'.,,O último significa 'com longa volta'.; O último significa 'com longa volta'.,,1
ehyatkaw,12,570,grandes,long,kaw; ehyatkaw,,kaw; ehyatkaw,The latter means 'with long back'.; The latter means 'with long back'.,,O último significa 'com longa volta'.; O último significa 'com longa volta'.,,1
Kawahman,,,"tipo de arvore cuja a fruta é comível, a madeira é branca, e não muito dura",,Kawahman,,,,,,,4
Kawai,,,tipo de papagaio,,Kawai,,,,,Veja: Waaro; ; ; ,,4
Kawaipî,,,lasco,,Kawaipî,,,,,,,4
kawaru,,,cavalo,,kawaru,,,,,,,2
Kawaru,,,cavalo,,Kawaru,,cau ru,,,,,3
Kawaru,,,cavalo,,Kawaru,,,,,,,4
kawaru ,3,410,cavalo (eqüino),horse (equine)  ,kawaru ,,kawaru ,From Port. 'cavalo'.,,Da porta. 'Cavalo'.,,1
kawaru kîîrî,3,420,garanhão,stallion,kawaru kîîrî,,kawaru kɨɨrɨ,,,,,1
kawaru woosî,3,440,égua,mare,kawaru woosî,,kawaru woosɨ,,,,,1
kawaru xîkrî,3,450,"potro, Colt","foal, colt",kawaru xîkrî,,kawaru šɨkrɨ,,,,,1
Kawau,,,"argila, barro",,Kawau,,,,,Kawau wankesî; Estou cavando argila (para usar); ; ,,4
kawau amnonoxapu,7,620,tijolo,brick,kawau amnonoxapu,,kawau amnonošaΦu,Lit. 'clay made into lumps'.,,Literalmente. 'Clay transformado em caroços'.,,1
kawau amnonoxapu,7,640,adobe,adobe,kawau amnonoxapu,,kawau amnonošaΦu,Same as 'brick' 07.620.,,O mesmo que 'tijolo' 07.620.,,1
kawawano,,,azeda,,kawawano,,,,,,,2
Kawawano,,,azeda,,Kawawano,,caua ua no,,,,,3
kawawape,15,380,"ácido, azedo","acid, sour",kawawape,,kawawaΦe,,,,,1
Kawawape,,,Azedo,,Kawawape,,,,,Kawawape nasî rimaw; Limão é azedas; Me dá um que é amargo; ,,4
Kawaxiy,,,Fermentado,,Kawaxiy,,,,,Kawaxiyem (NMZD) erîhra cexpore nasî; Não é bom beber o que é fermentado; É fermentado; ,,4
kawaxiyem,5,940,bebida fermentada,fermented drink ,kawaxiyem,kawaxi-ye-m,kawaši-ye-m,Lit. 'ferment-adv-nominalizer'.,,Literalmente. 'Ferment-ADV-nominizer'.,,1
kawaxiyem,,,bebida alcoólica ou cachaça,,kawaxiyem,,,,,,,2
Kawaxiyem,,,bebida alcoólico ou cachaça,,Kawaxiyem,,caua xi iem,,,,,3
Kawayapa,,,papagaio relativamente pequeno de cor verde que voa rápido em grupos,,Kawayapa,,,,,,,4
Kawaykawai,,,tipo de papagaio,,Kawaykawai,,,,,Veja: waaro; ; ; ,,4
kaweresî,1,740,névoa,fog,kaweresî,,kaweresɨ,,,,,1
Kaweresî,,,Neblina,,Kaweresî,,,,,,,4
kawno,,,alto,,kawno,,,,,,,2
Kawno,,,alto,,Kawno,,cau no,,,,,3
kawno pîn,,,baixinho,,kawno pîn,,,,,,,2
Kawno pîn,,,baixinho,,Kawno pîn,,cau no fun,,,,,3
Kawnuku,,,Espremer num espremedor de cassava,,Kawnuku,,,,,Kwahxarî kawnukyasî; Estou espremendo mandioca ralada num espremedor; Não estou espremendo; Kawnuko,,4
kawra,12,590,baixo,short,kawra,kaw-ra,kaw-ra,Lit. 'tall-negative'.,,Literalmente. 'alto negativo'.,,1
